#enstx	ensgene	symbol
ENST00000373020.8	ENSG00000000003.14	TSPAN6
ENST00000373031.5	ENSG00000000005.6	TNMD
ENST00000371588.9	ENSG00000000419.12	DPM1
ENST00000367771.11	ENSG00000000457.14	SCYL3
ENST00000498289.5	ENSG00000000460.17	C1orf112
ENST00000374004.5	ENSG00000000938.13	FGR
ENST00000367429.8	ENSG00000000971.15	CFH
ENST00000002165.10	ENSG00000001036.13	FUCA2
ENST00000616923.5	ENSG00000001084.12	GCLC
ENST00000341376.10	ENSG00000001167.14	NFYA
ENST00000468303.5	ENSG00000001460.18	STPG1
ENST00000374399.9	ENSG00000001461.17	NIPAL3
ENST00000374807.9	ENSG00000001497.16	LAS1L
ENST00000321037.5	ENSG00000001561.7	ENPP4
ENST00000413852.5	ENSG00000001617.12	SEMA3F
ENST00000003084.10	ENSG00000001626.15	CFTR
ENST00000265742.8	ENSG00000001629.10	ANKIB1
ENST00000003100.13	ENSG00000001630.17	CYP51A1
ENST00000475770.5	ENSG00000001631.15	KRIT1
ENST00000358495.7	ENSG00000002016.17	RAD52
ENST00000439784.7	ENSG00000002079.14	MYH16
ENST00000309032.7	ENSG00000002330.13	BAD
ENST00000606142.5	ENSG00000002549.12	LAP3
ENST00000381192.10	ENSG00000002586.20	CD99
ENST00000002596.6	ENSG00000002587.10	HS3ST1
ENST00000360937.8	ENSG00000002726.20	AOC1
ENST00000222462.3	ENSG00000002745.13	WNT16
ENST00000395891.7	ENSG00000002746.15	HECW1
ENST00000399654.6	ENSG00000002822.15	MAD1L1
ENST00000318008.11	ENSG00000002834.18	LASP1
ENST00000359238.6	ENSG00000002919.14	SNX11
ENST00000004103.8	ENSG00000002933.9	TMEM176A
ENST00000000412.8	ENSG00000003056.8	M6PR
ENST00000371882.5	ENSG00000003096.14	KLHL13
ENST00000001146.6	ENSG00000003137.8	CYP26B1
ENST00000455539.5	ENSG00000003147.19	ICA1
ENST00000002501.10	ENSG00000003249.13	DBNDD1
ENST00000264276.11	ENSG00000003393.15	ALS2
